release_agency,species,run,brood_year,release_year,first_release_date,last_release_date,mean_release_date,release_stage,rearing_type,avg_weight,avg_length,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,total_release
WDFW,chinook,3,2004,2005,6/7/2005,6/7/2005,158,,H,11.19,99.62028028,CHAMBERS CR  12.0007,CHAMBERS CR HATCHERY,DESCHUTES R  13.0028,WA,SPS,CHAM,13319
COOP,chinook,3,1999,2001,2/10/2001,2/10/2001,41,Y,H,56.69,168.969879,NWSSC-EVERETT N PEN,NWSSC-EVERETT N PEN,SKAGIT R     03.0176,WA,NPS,SNOH,19000
WDFW,chinook,3,2004,2005,5/18/2005,5/18/2005,138,,H,6.29,82,PURDY CR     16.0005,GEORGE ADAMS HATCHERY,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,1360870
RFEG,chinook,3,2014,2015,5/16/2015,6/2/2015,144.5,,H,5.81,80.47422336,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,81640
RFEG,chinook,3,2013,2014,5/10/2014,5/10/2014,130,,H,5.33,78.24604946,JOHN CR      16.0253,RFEG 6 HOOD CANAL,HAMMA HAMMA  16.0251,WA,HOOD,SKDO,55429
RFEG,chinook,3,2013,2014,6/13/2014,6/13/2014,164,,H,5.66,79.79170965,JOHN CR      16.0253,RFEG 6 HOOD CANAL,HAMMA HAMMA  16.0251,WA,HOOD,SKDO,54024
RFEG,chinook,3,2010,2011,5/16/2011,6/16/2011,151.5,,H,7.82,89,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,101336
RFEG,chinook,3,1994,1996,1/5/1996,5/25/1996,75.5,Y,H,62.13,174.0874962,GUEMES CHANNEL (NPRS),ANACORTES NET PENS,SAMISH   (FRIDAY CR),WA,NOWA,BESA,20637
RFEG,chinook,3,2009,2010,5/17/2010,6/11/2010,149.5,,H,14.97,89,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,77720
RFEG,chinook,3,2007,2008,6/7/2008,6/16/2008,163.5,,H,5.15,89,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,86051
RFEG,chinook,3,2006,2007,6/5/2007,6/26/2007,166.5,,H,7.71,92,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,37968
RFEG,chinook,3,2006,2007,4/14/2007,6/26/2007,140.5,,H,7.71,92,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,65391
RFEG,chinook,3,2005,2006,5/3/2006,6/14/2006,144,,H,7.82,91,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,69832
WDFW,chinook,3,2010,2011,5/25/2011,5/27/2011,146,,H,5.92,78,VOIGHT CR    10.0414,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,3.00E+05
WDFW,chinook,1,2002,2003,4/24/2003,4/24/2003,114,,H,4.05,71.55239843,SKAGIT R     03.0176,MARBLEMOUNT HATCHERY,SKAGIT R     03.0176,WA,NPS,SKAGG,1040
UW,chinook,3,1973,1974,5/15/1974,5/15/1974,135,S,H,12.45,103.1423607,PORTAGE BAY/SHIP CNL,PORTAGE BAY HATCHERY,PORTAGE BAY STOCK UW,WA,MPS,LAKW,40478
RFEG,chinook,3,1995,1996,5/13/1996,5/20/1996,137.5,,H,5.66,79.79170965,SKOKOMISH R  16.0001,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,28500
RFEG,chinook,3,1995,1996,4/4/1996,4/25/1996,105.5,,H,4.19,72.34859843,DUCKABUSH R  16.0351,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,29480
RFEG,chinook,3,1995,1996,5/14/1996,5/20/1996,138,,H,5.03,76.78385305,DEWATTO R    15.0420,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,WKIT,23000
