release_agency,species,run,brood_year,release_year,first_release_date,last_release_date,mean_release_date,release_stage,rearing_type,avg_weight,avg_length,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,total_release
WDFW,chinook,3,1970,1971,5/14/1971,5/14/1971,134,G,H,3.01,64.96128887,CAPITOL LK (THUR),CAPITOL LK REARING,DESCHUTES R  13.0028,WA,SPS,DES,48520
WDFW,chinook,3,1970,1971,5/15/1971,5/15/1971,135,F,H,0.52,36.67276114,SEKIU R      19.0203,DUNGENESS HATCHERY,MINTER CR    15.0048,WA,JUAN,LYHO,86000
WDFW,chinook,3,1970,1971,5/19/1971,5/19/1971,139,S,H,3.58,68.73528161,CAPITOL LK (THUR),CAPITOL LK REARING,DESCHUTES R  13.0028,WA,SPS,DES,50000
WDFW,chinook,3,1970,1971,5/20/1971,5/20/1971,140,S,H,4.31,73.01689561,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,69510
WDFW,chinook,3,1970,1971,5/21/1971,5/21/1971,141,S,H,4.23,72.57278183,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,94267
WDFW,chinook,3,1970,1971,5/21/1971,5/21/1971,141,P,H,3.35,67.26501111,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,29025
WDFW,chinook,3,1970,1971,5/21/1971,5/21/1971,141,S,H,4.67,74.9493855,GORST CR     15.0216,MINTER CR HATCHERY,MINTER CR    15.0048,WA,MPS,EKPN,999682
WDFW,chinook,3,1970,1971,5/21/1971,5/21/1971,141,S,H,3.74,69.72088738,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,102608
WDFW,chinook,3,1970,1971,5/26/1971,5/26/1971,146,P,H,3.18,66.13392408,MAY CR       07.0943,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,SNOH,597075
WDFW,chinook,3,1970,1971,5/26/1971,5/26/1971,146,S,H,5.14,77.32665238,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,20328
WDFW,chinook,3,1970,1971,5/27/1971,5/27/1971,147,S,H,4.53,74.21022016,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,158300
WDFW,chinook,3,1970,1971,5/28/1971,5/28/1971,148,S,H,5.14,77.32665238,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,1000736
WDFW,chinook,3,1970,1971,5/30/1971,5/30/1971,150,S,H,6.56,83.71944686,CLALLAM R    19.0129,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,80937
WDFW,chinook,3,1970,1971,6/1/1971,6/1/1971,152,S,H,4.62,74.6871353,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,540960
WDFW,chinook,3,1970,1971,6/2/1971,6/2/1971,153,S,H,6.04,81.49803264,LK UNION (KING),ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,26386
WDFW,chinook,3,1970,1971,6/3/1971,6/3/1971,154,S,H,5.66,79.79170965,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,666000
WDFW,chinook,3,1970,1971,6/7/1971,6/7/1971,158,S,H,5.39,78.53178573,HOKO R       19.0148,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,743400
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,4.92,76.23298848,SEKIU R      19.0203,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,101200
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,4.53,74.21022016,HOKO R       19.0148,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,75000
WDFW,chinook,3,1970,1971,6/9/1971,6/9/1971,160,S,H,7.08,85.82507226,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,39872
WDFW,chinook,3,1970,1971,6/10/1971,6/10/1971,161,S,H,6.2,82.19483662,SALT CR      19.0007,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,94900
WDFW,chinook,3,1970,1971,6/10/1971,6/10/1971,161,S,H,6.2,82.19483662,SEKIU R      19.0203,SOLDUC HATCHERY,FINCH CR     16.0222,WA,JUAN,LYHO,222650
WDFW,chinook,3,1970,1971,6/10/1971,6/10/1971,161,S,H,7.31,86.72318502,CAPITOL LK (THUR),CAPITOL LK REARING,DESCHUTES R  13.0028,WA,SPS,DES,46438
WDFW,chinook,3,1970,1971,6/15/1971,6/15/1971,166,S,H,6.38,82.96439469,MINTER CR    15.0048,MINTER CR HATCHERY,FINCH CR     16.0222,WA,SPS,EKPS,214988
WDFW,chinook,3,1970,1971,6/15/1971,6/15/1971,166,S,H,4.35,73.23686999,MAY CR       07.0943,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,SNOH,590994
WDFW,chinook,3,1970,1971,6/15/1971,6/15/1971,166,S,H,7.19,86.25702106,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,29988
WDFW,chinook,3,1970,1971,6/15/1971,6/15/1971,166,P,H,3.4,67.59029425,SNOW CR      17.0219,DUNGENESS HATCHERY,MINTER CR    15.0048,WA,JUAN,ELDU,106573
WDFW,chinook,3,1970,1971,7/20/1971,7/20/1971,201,S,H,17.44,115.106908,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,1032
WDFW,chinook,3,1970,1971,7/20/1971,7/20/1971,201,S,H,12.94,104.4470496,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,17929
WDFW,chinook,3,1970,1971,7/20/1971,7/20/1971,201,S,H,12.89,104.3154609,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,422
WDFW,chinook,3,1970,1971,7/20/1971,7/20/1971,201,S,H,17.43,115.0854119,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,21900
WDFW,chinook,3,1970,1971,7/20/1971,7/20/1971,201,S,H,12.26,102.6271443,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,13084
WDFW,chinook,3,1970,1971,7/20/1971,7/20/1971,201,S,H,17.43,115.0854119,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,29967
WDFW,chinook,3,1960,1961,6/1/1961,6/1/1961,152,G,H,2.74,63.00338305,SKAGIT R     03.0176,MARBLEMOUNT HATCHERY,SAMISH   (FRIDAY CR),WA,NPS,SKAGG,64515
WDFW,chinook,3,1960,1961,6/2/1961,6/2/1961,153,G,H,2.94,64.46544703,SKAGIT R     03.0176,MARBLEMOUNT HATCHERY,SAMISH   (FRIDAY CR),WA,NPS,SKAGG,37884
UW,chinook,3,1970,1972,2/19/1972,2/19/1972,50,S,H,113.39,211.7606246,BIG BEEF CR  15.0389,BIG BEEF CR HATCHERY,WASHINGTON - GENERAL,WA,HOOD,WKIT,200
WDFW,chinook,5,1970,1972,3/8/1972,3/8/1972,68,S,H,68.71,179.8885523,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR X COWLITZ R,WA,HOOD,SKDO,22277
WDFW,chinook,5,1970,1972,3/8/1972,3/8/1972,68,S,H,68.7,179.8800267,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR X COWLITZ R,WA,HOOD,SKDO,29323
WDFW,chinook,1,1970,1972,4/6/1972,4/6/1972,97,S,H,28.34,134.8220422,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,51726
WDFW,chinook,1,1970,1972,4/15/1972,4/15/1972,106,S,H,41.23,152.3271589,HURD CR      18.0028,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,101530
COOP,chinook,3,1970,1972,6/30/1972,6/30/1972,182,S,H,113.39,211.7606246,LITTLE CLAM BAY PENS,MANCHESTER FUEL DEPT,WASHINGTON - GENERAL,WA,MPS,EKPN,1500
WDFW,chinook,3,1971,1972,2/24/1972,2/24/1972,55,F,H,0.44,34.73115018,STILLAGUAMISH R,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,NPS,STIL,720000
WDFW,chinook,3,1971,1972,2/26/1972,2/26/1972,57,F,H,0.44,34.73115018,SNOQUALMIE R -MF,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,NPS,SNOH,240000
WDFW,chinook,3,1971,1972,2/26/1972,2/26/1972,57,F,H,0.44,34.73115018,SNOQUALMIE R -MF,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,NPS,SNOH,240000
WDFW,chinook,3,1971,1972,2/28/1972,2/28/1972,59,G,H,0.73,40.95574188,KENDALL CR   01.0406,KENDALL CR HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,NOOK,466650
WDFW,chinook,3,1971,1972,3/8/1972,3/8/1972,68,F,H,0.44,34.73115018,STILLAGUAMISH R,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,NPS,STIL,560000
WDFW,chinook,3,1971,1972,3/9/1972,3/9/1972,69,F,H,0.44,34.73115018,STILLAGUAMISH R,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,NPS,STIL,590000
WDFW,chinook,5,1971,1972,3/9/1972,3/9/1972,69,F,H,0.51,36.44160901,LK WASHINGTON (KING),SOOS CREEK HATCHERY,GREEN R X WHITE R,WA,MPS,LAKW,302400
WDFW,chinook,5,1971,1972,3/13/1972,3/13/1972,73,F,H,0.44,34.73115018,LK WASHINGTON (KING),SOOS CREEK HATCHERY,GREEN R X WHITE R,WA,MPS,LAKW,313000
COOP,chinook,3,1971,1972,4/2/1972,4/2/1972,93,F,H,0.49,35.96996973,PORTAGE BAY/SHIP CNL,NWSSC - MONTLAKE,ISSAQUAH CR  08.0178,WA,MPS,LAKW,62000
WDFW,chinook,3,1994,1995,2/13/1995,2/13/1995,44,,H,0.5,36.2073798,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,525000
UW,chinook,3,1971,1972,5/12/1972,5/12/1972,133,S,H,11.33,100.0244303,LK UNION (KING),PORTAGE BAY HATCHERY,WASHINGTON - GENERAL,WA,MPS,LAKW,81048
WDFW,chinook,3,1971,1972,5/19/1972,5/19/1972,140,S,H,4.53,74.21022016,FRIDAY CR    03.0017,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,2127870
WDFW,chinook,3,1971,1972,5/24/1972,5/24/1972,145,S,H,4.39,73.45548447,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,666719
WDFW,chinook,3,1971,1972,5/26/1972,5/26/1972,147,S,H,5.15,77.37560789,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,405630
WDFW,chinook,3,1971,1972,5/29/1972,5/29/1972,150,S,H,5.73,80.11171494,CLALLAM R    19.0129,SOLDUC HATCHERY,HOOD CANAL X ELWHA,WA,JUAN,LYHO,98987
WDFW,chinook,3,1971,1972,5/30/1972,5/30/1972,151,S,H,4.35,73.23686999,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,HOH X GREEN,WA,MPS,DUWA,163280
WDFW,chinook,3,1971,1972,6/1/1972,6/1/1972,153,P,H,3.21,66.3364414,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,190287
WDFW,chinook,5,1971,1972,6/1/1972,6/1/1972,153,P,H,3.21,66.3364414,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH X WHITE R,WA,MPS,LAKW,466128
WDFW,chinook,3,1971,1972,6/1/1972,6/1/1972,153,S,H,5.52,79.14360206,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,108240
WDFW,chinook,3,1971,1972,6/2/1972,6/2/1972,154,S,H,6.96,85.34866223,CAPITOL LK (THUR),CAPITOL LK REARING,UNDETERMINED MIXED,WA,SPS,DES,12240
WDFW,chinook,3,1971,1972,6/3/1972,6/3/1972,155,S,H,3.48,68.10410258,MAY CR       07.0943,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,SNOH,222622
WDFW,chinook,3,1971,1972,6/15/1972,6/15/1972,167,S,H,3.53,68.42119941,CLARK CR     03.1421,MARBLEMOUNT HATCHERY,GREEN R + SKAGIT R,WA,NPS,UPSK,2853198
WDFW,chinook,5,1971,1972,6/15/1972,6/15/1972,167,S,H,6.76,84.54218233,GORST CR     15.0216,GORST CR REARING PND,GREEN R X WHITE R,WA,MPS,EKPN,121672
WDFW,chinook,3,1971,1972,6/16/1972,6/16/1972,168,S,H,5.26,77.9099355,VOIGHT CR    10.0414,VOIGHTS CR HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,PUYA,379346
WDFW,chinook,3,1971,1972,6/29/1972,6/29/1972,181,S,H,8.71,91.81543048,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,50076
WDFW,chinook,3,1971,1972,6/30/1972,6/30/1972,182,S,H,4,71.26354602,VOIGHT CR    10.0414,VOIGHTS CR HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,PUYA,210858
WDFW,chinook,3,1971,1972,7/11/1972,7/11/1972,193,S,H,4.44,73.72687168,CLARK CR     03.1421,MARBLEMOUNT HATCHERY,GREEN R + SKAGIT R,WA,NPS,UPSK,136374
WDFW,chinook,5,1971,1972,7/11/1972,7/11/1972,193,S,H,5.27,77.95813573,HOKO R       19.0148,SOLDUC HATCHERY,ISSAQUAH X WHITE R,WA,JUAN,LYHO,120966
WDFW,chinook,3,1971,1972,8/17/1972,8/17/1972,230,S,H,15.11,109.8552186,CAPITOL LK (THUR),BINGHAM CR HATCHERY,DESCHUTES R  13.0028,WA,SPS,DES,50400
WDFW,chinook,3,1971,1972,8/18/1972,8/18/1972,231,S,H,16.19,112.3527641,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,94080
COOP,chinook,3,1971,1972,10/18/1972,10/18/1972,292,S,H,53.98,166.2960929,PEALE PASS @ SS PENS,SQUAXIN ISLAND PENS,FINCH CR     16.0222,WA,SPS,EKPS,7511
WDFW,chinook,1,1971,1972,10/28/1972,10/28/1972,302,S,H,22.67,125.3695091,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,88260
WDFW,chinook,3,1971,1972,12/7/1972,12/7/1972,342,S,H,34.9,144.2799213,CLARK CR     03.1421,MARBLEMOUNT HATCHERY,GREEN R + SKAGIT R,WA,NPS,UPSK,38685
WDFW,chinook,1,1971,1972,12/7/1972,12/7/1972,342,S,H,30.23,137.6863619,HURD CR      18.0028,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,103500
WDFW,chinook,5,1971,1973,1/26/1973,1/26/1973,26,S,H,17.44,115.106908,GREEN R      09.0001,VOIGHTS CR HATCHERY,PUYALLUP X WHITE R,WA,MPS,DUWA,208400
WDFW,chinook,1,1971,1973,1/31/1973,1/31/1973,31,S,H,64.79,176.4802642,ELWHA R      18.0272,SOLDUC HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,60074
WDFW,chinook,3,1971,1973,1/31/1973,1/31/1973,31,S,H,64.79,176.4802642,ELWHA R      18.0272,SOLDUC HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,25746
WDFW,chinook,1,1971,1973,2/6/1973,2/6/1973,37,S,H,37.79,148.0664899,GREEN R      09.0001,VOIGHTS CR HATCHERY,COWLITZ X WHITE R,WA,MPS,DUWA,195600
WDFW,chinook,1,1971,1973,2/26/1973,2/26/1973,57,S,H,113.36,211.7423793,FINCH CR     16.0222,HOODSPORT HATCHERY,COWLITZ R    26.0002,WA,HOOD,SKDO,7326
WDFW,chinook,1,1971,1973,3/31/1973,3/31/1973,90,S,H,50.39,162.6108579,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,56755
WDFW,chinook,1,1971,1973,3/31/1973,3/31/1973,90,S,H,32.39,140.8156333,HURD CR      18.0028,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,79415
WDFW,chinook,3,1960,1961,8/14/1961,8/14/1961,226,G,H,2.01,56.95728937,ELWHA R      18.0272,DUNGENESS HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,61200
WDFW,chinook,3,1960,1961,8/14/1961,8/14/1961,226,G,H,2.01,56.95728937,ELWHA R      18.0272,DUNGENESS HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,67500
WDFW,chinook,3,1960,1961,8/15/1961,8/15/1961,227,G,H,2.22,58.83047609,ELWHA R      18.0272,DUNGENESS HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,71050
WDFW,chinook,3,1960,1961,8/16/1961,8/16/1961,228,G,H,2.22,58.83047609,ELWHA R      18.0272,DUNGENESS HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,71050
WDFW,chinook,3,1960,1961,8/16/1961,8/16/1961,228,G,H,2.22,58.83047609,ELWHA R      18.0272,DUNGENESS HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,71050
WDFW,chinook,3,1960,1961,8/23/1961,8/23/1961,235,G,H,2.22,58.83047609,ELWHA R      18.0272,DUNGENESS HATCHERY,ELWHA R      18.0272,WA,JUAN,ELDU,60900
COOP,chinook,5,1971,1973,4/10/1973,4/10/1973,100,S,H,151.18,232.5532312,LITTLE CLAM BAY PENS,MANCHESTER FUEL DEPT,GREEN R X WHITE R,WA,MPS,EKPN,46000
WDFW,chinook,3,1972,1973,2/28/1973,2/28/1973,59,F,H,0.52,36.67276114,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,398640
WDFW,chinook,3,1972,1973,3/6/1973,3/6/1973,65,F,H,0.5,36.2073798,STILLAGUAMISH R -NF,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,STIL,85000
WDFW,chinook,3,1972,1973,3/6/1973,3/6/1973,65,F,H,0.48,35.72926937,STILLAGUAMISH R,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,STIL,275000
WDFW,chinook,3,1972,1973,3/12/1973,3/12/1973,71,G,H,2.29,59.42820726,NISQUALLY R  11.0008,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,NISQ,200940
WDFW,chinook,3,1972,1973,4/5/1973,4/5/1973,95,S,H,5.73,80.11171494,MINTER CR    15.0048,GARRISON HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,82950
WDFW,chinook,3,1972,1973,4/23/1973,4/23/1973,113,G,H,0.96,44.7762356,CAPITOL LK (THUR),VOIGHTS CR HATCHERY,BIG SOOS CR  09.0072,WA,SPS,DES,500018
WDFW,chinook,3,1972,1973,4/28/1973,4/28/1973,118,G,H,1.73,54.24188075,CAPITOL LK (THUR),CAPITOL LK REARING,UNDETERMINED MIXED,WA,SPS,DES,1600000
WDFW,chinook,3,1972,1973,4/30/1973,4/30/1973,120,P,H,3.18,66.13392408,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,99116
WDFW,chinook,3,1972,1973,4/30/1973,4/30/1973,120,G,H,1.42,50.86390651,CAPITOL LK (THUR),CAPITOL LK REARING,BIG SOOS CR  09.0072,WA,SPS,DES,1243400
WDFW,chinook,3,1972,1973,4/30/1973,4/30/1973,120,P,H,3.23,66.47074484,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,990080
WDFW,chinook,3,1972,1973,4/30/1973,4/30/1973,120,G,H,3.01,64.96128887,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,404700
WDFW,chinook,3,1972,1973,5/5/1973,5/5/1973,125,G,H,2.24,59.00253807,CAPITOL LK (THUR),CAPITOL LK REARING,UNDETERMINED MIXED,WA,SPS,DES,5.00E+05
WDFW,chinook,3,1972,1973,5/7/1973,5/7/1973,127,G,H,1.18,47.88806087,NISQUALLY R  11.0008,BINGHAM CR HATCHERY,MINTER CR    15.0048,WA,SPS,NISQ,1116820
WDFW,chinook,3,1972,1973,5/9/1973,5/9/1973,129,G,H,2.72,62.85326413,FRIDAY CR    03.0017,SAMISH HATCHERY,ISSAQUAH CR  08.0178,WA,NOWA,BESA,530204
WDFW,chinook,3,2009,2010,5/17/2010,5/17/2010,137,,H,5.15,77.37560789,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,290023
WDFW,chinook,3,1972,1973,5/9/1973,5/9/1973,129,S,H,7.3,86.68453601,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,45460
WDFW,chinook,3,1972,1973,5/12/1973,5/12/1973,132,P,H,3.25,66.60448863,CAPITOL LK (THUR),CAPITOL LK REARING,UNDETERMINED MIXED,WA,SPS,DES,5.00E+05
WDFW,chinook,3,1972,1973,5/13/1973,5/13/1973,133,G,H,2.51,61.23010848,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,750060
WDFW,chinook,3,1972,1973,5/14/1973,5/14/1973,134,P,H,3.18,66.13392408,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,853846
WDFW,chinook,3,1972,1973,5/15/1973,5/15/1973,135,G,H,2.51,61.23010848,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH X RIVERS IN,WA,MPS,LAKW,95400
WDFW,chinook,3,1972,1973,5/15/1973,5/15/1973,135,S,H,3.87,70.50095513,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,429975
WDFW,chinook,3,1972,1973,5/16/1973,5/16/1973,136,S,H,3.62,68.98442408,KENDALL CR   01.0406,KENDALL CR HATCHERY,KENDALL CR   01.0406,WA,NOWA,NOOK,1390000
WDFW,chinook,3,1972,1973,5/16/1973,5/16/1973,136,P,H,3.4,67.59029425,FRIDAY CR    03.0017,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,406315
WDFW,chinook,3,1972,1973,5/16/1973,5/16/1973,136,G,H,1.96,56.49200122,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,123050
UW,chinook,3,1972,1973,5/16/1973,5/16/1973,136,S,H,9.48,94.38338419,LK UNION (KING),PORTAGE BAY HATCHERY,PORTAGE BAY STOCK UW,WA,MPS,LAKW,40050
UW,chinook,3,1972,1973,5/16/1973,5/16/1973,136,S,H,11,99.06629974,LK UNION (KING),PORTAGE BAY HATCHERY,PORTAGE BAY STOCK UW,WA,MPS,LAKW,38010
UW,chinook,3,1972,1973,5/16/1973,5/16/1973,136,S,H,11.37,100.1392827,LK UNION (KING),PORTAGE BAY HATCHERY,PORTAGE BAY STOCK UW,WA,MPS,LAKW,40200
WDFW,chinook,3,1972,1973,5/17/1973,5/17/1973,137,S,H,3.74,69.72088738,FRIDAY CR    03.0017,SAMISH HATCHERY,ISSAQUAH CR  08.0178,WA,NOWA,BESA,2602710
WDFW,chinook,3,1972,1973,5/18/1973,5/18/1973,138,G,H,1.9,55.92296549,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,309996
WDFW,chinook,3,1972,1973,5/18/1973,5/18/1973,138,S,H,3.5,68.23130767,CAPITOL LK (THUR),CAPITOL LK REARING,FINCH CR     16.0222,WA,SPS,DES,70484
WDFW,chinook,5,1972,1973,5/18/1973,5/18/1973,138,S,H,4,71.26354602,GORST CR     15.0216,GORST CR REARING PND,MINTER CR X WHITE R,WA,MPS,EKPN,771741
WDFW,chinook,3,1972,1973,5/20/1973,5/20/1973,140,G,H,2.66,62.39839262,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,88740
WDFW,chinook,1,1972,1973,5/21/1973,5/21/1973,141,G,H,2.26,59.17356712,SULTAN R     07.0881,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,SNOH,43200
WDFW,chinook,3,1972,1973,5/21/1973,5/21/1973,141,G,H,2.79,63.37547482,CAPITOL LK (THUR),CAPITOL LK REARING,BIG SOOS CR  09.0072,WA,SPS,DES,1233118
WDFW,chinook,3,1972,1973,5/23/1973,5/23/1973,143,S,H,4.11,71.89586428,FRIDAY CR    03.0017,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,15840
WDFW,chinook,3,1972,1973,5/23/1973,5/23/1973,143,S,H,5.33,78.24604946,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,743155
WDFW,chinook,3,1972,1973,5/29/1973,5/29/1973,149,P,H,3.23,66.47074484,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,ISSAQUAH X RIVERS IN,WA,MPS,DUWA,266560
WDFW,chinook,3,1972,1973,5/29/1973,5/29/1973,149,S,H,3.48,68.10410258,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,HOH X GREEN,WA,MPS,DUWA,109590
WDFW,chinook,5,1972,1973,5/29/1973,5/29/1973,149,P,H,3.25,66.60448863,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,GREEN R X WHITE R,WA,MPS,DUWA,290232
WDFW,chinook,3,1972,1973,5/30/1973,5/30/1973,150,P,H,3.23,66.47074484,MAY CR       07.0943,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,SNOH,168000
WDFW,chinook,3,1972,1973,5/30/1973,5/30/1973,150,S,H,3.71,69.53828306,MAY CR       07.0943,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,SNOH,286800
WDFW,chinook,3,1972,1973,5/30/1973,5/30/1973,150,S,H,3.97,71.08906412,MAY CR       07.0943,WALLACE R HATCHERY,MAY CR       07.0943,WA,NPS,SNOH,472695
WDFW,chinook,3,1972,1973,5/30/1973,5/30/1973,150,S,H,4.35,73.23686999,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,14768
WDFW,chinook,3,1972,1973,5/31/1973,5/31/1973,151,S,H,9.84,95.53585375,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,3225
WDFW,chinook,5,1972,1973,6/1/1973,6/1/1973,152,S,H,4.2,72.40477912,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,GREEN R X WHITE R,WA,MPS,LAKW,6577
WDFW,chinook,3,1972,1973,6/7/1973,6/7/1973,158,S,H,3.8,70.08315374,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,138635
